Meal_Name,Calories,Tags
Wheat/Roti + Eggs + Vegetables Combo 1,614,Wheat/Roti Eggs Vegetables
Noodles + Fish Combo 2,536,Noodles Fish
Pasta + Chicken/Meat Combo 3,427,Pasta Chicken/Meat
Quinoa + Fish + Leafy Greens Combo 4,599,Quinoa Fish Vegetables Sweets
Pasta + Eggs Combo 5,522,Pasta Eggs
Pasta Combo 6,294,Pasta
Noodles + Tofu + Leafy Greens Combo 7,552,Noodles Tofu Vegetables
Noodles + Eggs + Vegetables Combo 8,507,Noodles Eggs Vegetables
Noodles + Chicken/Meat Combo 9,513,Noodles Chicken/Meat
Rice Combo 10,271,Rice
Rice + Chicken/Meat + Root Veggies Combo 11,561,Rice Chicken/Meat Vegetables Sweets
Noodles + Tofu + Vegetables Combo 12,596,Noodles Tofu Vegetables Nuts
Pasta + Lentils + Vegetables Combo 13,587,Pasta Lentils Vegetables Sweets
Noodles + Fish Combo 14,544,Noodles Fish
Pasta + Chicken/Meat Combo 15,369,Pasta Chicken/Meat
Rice + Eggs + Mixed Salad + with Cheese/Cream Combo 16,580,Rice Eggs Vegetables Dairy
Rice Combo 17,215,Rice
Noodles Combo 18,236,Noodles
Wheat/Roti + Fish + Vegetables Combo 19,417,Wheat/Roti Fish Vegetables Sweets
Rice Combo 20,270,Rice
Rice + Eggs + Mixed Salad Combo 21,548,Rice Eggs Vegetables
Quinoa + Tofu + Mixed Salad Combo 22,704,Quinoa Tofu Vegetables Nuts
Rice + Tofu + Leafy Greens Combo 23,429,Rice Tofu Vegetables Sweets
Quinoa Combo 24,214,Quinoa
Noodles + Chicken/Meat + Vegetables Combo 25,608,Noodles Chicken/Meat Vegetables
Noodles Combo 26,163,Noodles
Wheat/Roti + Chicken/Meat + Leafy Greens + (Fried/Processed) Combo 27,785,Wheat/Roti Chicken/Meat Vegetables Junk Food
Wheat/Roti Combo 28,283,Wheat/Roti
Quinoa + Tofu + Mixed Salad Combo 29,649,Quinoa Tofu Vegetables
Wheat/Roti + Lentils Combo 30,545,Wheat/Roti Lentils
Quinoa + Lentils + Mixed Salad Combo 31,640,Quinoa Lentils Vegetables
Noodles + Chicken/Meat Combo 32,414,Noodles Chicken/Meat
Noodles Combo 33,220,Noodles
Noodles + Tofu Combo 34,551,Noodles Tofu
Pasta + Lentils Combo 35,301,Pasta Lentils
Wheat/Roti + Eggs + Leafy Greens + (Fried/Processed) Combo 36,831,Wheat/Roti Eggs Vegetables Junk Food
Wheat/Roti Combo 37,205,Wheat/Roti
Rice Combo 38,278,Rice
Pasta + Chicken/Meat Combo 39,397,Pasta Chicken/Meat
