Age,Height_cm,Weight_kg,BMI,Activity_Level,Sleep_Hours,Water_Intake_ml,Healthy_Food_Count,Junk_Food_Count,Target_Health_Score,Target_Status
37,194,83.6,22.2,Sitting,4,3229,0,1,65,Good
40,150,44.7,19.9,Sitting,5,3569,0,3,60,Good
60,167,48.8,17.5,Sitting,7,1702,2,0,72,Good
51,156,77.1,31.7,Moderate,4,1154,5,3,55,Moderate Risk
42,198,86.6,22.1,Light,5,3027,5,0,95,Optimal
30,192,83.2,22.6,Heavy,6,2139,5,2,90,Optimal
23,195,81.9,21.5,Heavy,7,1863,5,0,100,Optimal
54,185,118.1,34.5,Light,6,2624,5,3,66,Good
20,146,67.7,31.8,Heavy,8,3174,2,1,89,Optimal
52,179,117.4,36.6,Light,6,3868,0,3,53,Moderate Risk
47,159,98.5,39.0,Moderate,9,3833,5,1,80,Optimal
21,169,70.8,24.8,Heavy,9,2066,3,1,96,Optimal
46,152,86.7,37.5,Sitting,7,2469,5,3,47,Moderate Risk
47,184,95.9,28.3,Moderate,4,1295,5,1,71,Good
31,173,60.7,20.3,Sitting,7,2741,4,2,83,Optimal
27,183,86.3,25.8,Heavy,4,1100,5,0,84,Optimal
33,198,110.5,28.2,Light,4,4360,1,1,68,Good
45,197,97.0,25.0,Sitting,8,4421,5,1,90,Optimal
50,156,47.8,19.6,Moderate,7,2107,1,0,92,Optimal
46,173,93.9,31.4,Moderate,6,1226,5,1,76,Good
61,175,85.5,27.9,Sitting,4,1080,3,0,57,Moderate Risk
36,140,77.5,39.5,Sitting,8,1331,2,3,38,High Risk
57,182,109.4,33.0,Light,8,1513,3,3,60,Good
58,150,40.8,18.1,Light,9,3377,3,3,80,Optimal
64,147,70.1,32.4,Sitting,8,2903,2,3,58,Moderate Risk
34,197,113.2,29.2,Moderate,5,1345,0,1,64,Good
36,193,115.6,31.0,Heavy,7,2587,4,0,100,Optimal
18,170,60.3,20.9,Light,9,4326,5,0,100,Optimal
38,151,50.5,22.1,Light,8,3605,5,0,100,Optimal
31,189,102.0,28.6,Moderate,4,3510,2,2,69,Good
29,163,45.7,17.2,Light,7,2305,0,2,68,Good
39,157,72.9,29.6,Moderate,4,3171,4,1,77,Good
41,156,95.9,39.4,Light,9,1741,4,2,57,Moderate Risk
33,160,84.8,33.1,Light,5,1719,0,2,48,Moderate Risk
48,180,71.9,22.2,Light,8,3294,5,1,100,Optimal
63,164,99.4,37.0,Light,9,3847,1,0,74,Good
34,190,97.0,26.9,Moderate,4,1804,0,0,68,Good
64,191,100.2,27.5,Light,4,1648,3,2,58,Moderate Risk
40,177,98.0,31.3,Moderate,6,2394,3,2,67,Good
26,200,128.7,32.2,Moderate,8,3656,1,1,82,Optimal
19,185,97.9,28.6,Moderate,7,2333,1,0,82,Optimal
51,175,69.1,22.6,Light,9,3626,4,3,88,Optimal
61,161,75.5,29.1,Heavy,5,3581,3,2,80,Optimal
28,178,98.7,31.2,Moderate,4,1861,5,0,71,Good
56,166,88.6,32.2,Light,5,1437,1,3,47,Moderate Risk
51,182,93.7,28.3,Sitting,6,2737,0,3,56,Moderate Risk
59,141,37.5,18.9,Heavy,4,3103,4,3,83,Optimal
